,Mã trạm,Chỉ số AQI,Tên trạm,Url,Chất ô nhiễm chủ đạo,CO,Sương,Độ ẩm,NO2,O3,Áp suất,Bụi PM10,Bụi PM2.5,SO2,Nhiệt độ,Tốc độ gió,Thời gian cập nhật,Múi giờ,Latitude,Longitude
0,8767,102.0,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,0.0,83.0,-,-,"1,009.00",0.00,102.00,-,27.0,3.6,2021-01-21 19:00:00,+07:00,10.782978,106.700711
1,8688,221.0,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,0.0,77.0,-,-,"1,015.00",0.00,-,-,18.0,1.5,2021-01-21 20:00:00,+07:00,21.0811211,105.8180306
2,8641,281.0,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.30,0.0,77.0,8.70,0.90,"1,015.00",0.00,281.00,2.10,18.0,1.5,2021-01-21 20:00:00,+07:00,21.0215063,105.8188748
3,13012,36.0,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm25,3.00,0.0,60.2,6.00,9.00,923.70,29.00,36.00,1.00,24.3,1.0,2021-01-21 20:00:00,+07:00,13.998599,107.996482
4,12488,68.0,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,pm25,2.00,0.0,88.0,-,-,"1,015.00",52.00,68.00,-,21.0,1.0,2021-01-21 19:00:00,+07:00,16.46226,107.596351
5,13251,217.0,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,12.00,0.0,77.0,65.00,1.00,"1,015.00",194.00,217.00,2.00,18.0,1.5,2021-01-21 19:00:00,+07:00,21.04975,105.74187
6,12976,195.0,"Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,8.00,0.0,77.0,17.00,23.00,"1,015.00",119.00,195.00,3.00,18.0,1.5,2021-01-21 20:00:00,+07:00,21.1137452,105.9268934
7,13250,168.0,"Lào Cai/KCN TALOONG1, Vietnam",https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1,pm25,37.00,0.0,70.3,2.00,1.00,"1,003.20",65.00,168.00,17.00,18.5,1.0,2021-01-21 20:00:00,+07:00,22.3221386,104.1214227
8,5507,48.0,"Ha Long, Vietnam (Tp Hạ Long)",https://aqicn.org/city/vietnam/ha-long,pm25,-,0.0,95.7,11.00,39.00,"1,001.00",25.00,48.00,-,17.0,2.0,2021-01-21 19:00:00,+07:00,20.9416,107.1158
9,11778,18.0,"Quảng Ninh/UBND TP Uông Bí, Vietnam",https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi,pm25,5.00,0.0,97.5,5.00,-,"1,002.00",12.00,18.00,3.00,15.4,1.0,2021-01-21 05:00:00,+07:00,21.0357507,106.7641068
10,12958,251.0,"Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm25,7.00,0.0,77.0,52.00,2.00,"1,015.00",155.00,251.00,6.00,18.0,1.5,2021-01-21 20:00:00,+07:00,21.1232473,106.2883295
11,12957,315.0,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh,pm25,7.00,0.0,77.0,48.00,-,"1,015.00",205.00,315.00,12.00,18.0,1.5,2021-01-21 20:00:00,+07:00,21.0272212,106.0342099
12,13015,224.0,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma,pm25,61.00,0.0,79.5,80.00,-,"1,015.50",185.00,224.00,-,18.0,1.2,2021-01-21 19:00:00,+07:00,21.03982,105.84726
13,13018,177.0,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai,pm25,20.00,0.0,79.5,42.00,-,"1,015.50",112.00,177.00,-,18.0,1.2,2021-01-21 19:00:00,+07:00,20.98832,105.854897
14,13019,179.0,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,14.00,0.0,79.5,47.00,-,"1,015.50",122.00,179.00,-,18.0,1.2,2021-01-21 19:00:00,+07:00,21.01994,105.77056
15,13026,214.0,"Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,19.00,0.0,77.0,36.00,1.00,"1,015.00",149.00,214.00,1.00,18.0,1.2,2021-01-21 19:00:00,+07:00,21.01525,105.80013
16,13017,213.0,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,31.00,0.0,79.5,34.00,-,"1,015.50",175.00,213.00,-,18.0,1.2,2021-01-21 19:00:00,+07:00,21.02022,105.81232
17,13020,166.0,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,13.00,0.0,79.5,33.00,-,"1,015.50",105.00,166.00,-,18.0,1.2,2021-01-21 19:00:00,+07:00,21.00577,105.74842
18,13013,221.0,"Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,38.00,0.0,79.5,31.00,-,"1,015.50",177.00,221.00,-,18.0,1.2,2021-01-21 19:00:00,+07:00,21.05121,105.78232
19,13014,191.0,"Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,17.00,0.0,82.0,-,-,"1,016.00",130.00,191.00,-,18.0,1.0,2021-01-21 20:00:00,+07:00,21.0072,105.83572
20,13252,213.0,"Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm25,-,0.0,77.8,-,1.00,986.30,204.00,213.00,2.00,17.2,2.0,2021-01-21 21:00:00,+07:00,22.6782,106.245
21,8767,122.0,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,0.0,56.5,-,-,"1,008.50",0.00,122.00,-,30.5,2.5,2021-01-22 13:00:00,+07:00,10.782978,106.700711
22,8688,192.0,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,0.0,53.0,-,-,"1,015.00",0.00,-,-,22.0,2.0,2021-01-22 13:00:00,+07:00,21.0811211,105.8180306
23,8641,189.0,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.10,0.0,51.0,8.70,4.90,"1,014.50",0.00,189.00,3.10,22.5,2.3,2021-01-22 13:00:00,+07:00,21.0215063,105.8188748
24,13012,18.0,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm10,4.00,0.0,64.3,13.00,20.00,926.20,18.00,17.00,1.00,23.0,2.0,2021-01-22 13:00:00,+07:00,13.998599,107.996482
25,13251,189.0,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,12.00,0.0,58.0,42.00,1.00,"1,016.00",156.00,189.00,2.00,22.0,2.0,2021-01-22 12:00:00,+07:00,21.04975,105.74187
26,12976,164.0,"Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,5.00,0.0,53.0,14.00,23.00,"1,015.00",88.00,164.00,17.00,22.0,2.0,2021-01-22 13:00:00,+07:00,21.1137452,105.9268934
27,13250,131.0,"Lào Cai/KCN TALOONG1, Vietnam",https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1,pm25,38.00,0.0,93.2,3.00,1.00,"1,007.10",24.00,131.00,22.00,16.7,1.0,2021-01-22 13:00:00,+07:00,22.3221386,104.1214227
28,5507,49.0,"Ha Long, Vietnam (Tp Hạ Long)",https://aqicn.org/city/vietnam/ha-long,pm25,-,0.0,86.2,14.00,38.00,"1,001.30",26.00,49.00,-,21.3,1.0,2021-01-22 13:00:00,+07:00,20.9416,107.1158
29,11778,38.0,"Quảng Ninh/UBND TP Uông Bí, Vietnam",https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi,pm25,6.00,0.0,86.2,14.00,-,"1,001.30",24.00,38.00,24.00,21.3,1.0,2021-01-22 12:00:00,+07:00,21.0357507,106.7641068
30,12958,235.0,"Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm25,5.00,0.0,53.0,25.00,30.00,"1,015.00",138.00,235.00,19.00,22.0,2.0,2021-01-22 13:00:00,+07:00,21.1232473,106.2883295
31,12957,252.0,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh,pm25,2.00,0.0,53.0,15.00,-,"1,015.00",157.00,252.00,15.00,22.0,2.0,2021-01-22 13:00:00,+07:00,21.0272212,106.0342099
32,13015,191.0,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma,pm25,48.00,0.0,58.0,47.00,-,"1,016.00",157.00,191.00,-,22.0,2.0,2021-01-22 12:00:00,+07:00,21.03982,105.84726
33,13018,161.0,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai,pm25,9.00,0.0,53.0,31.00,-,"1,015.00",90.00,161.00,-,22.0,2.0,2021-01-22 12:00:00,+07:00,20.98832,105.854897
34,13019,164.0,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,7.00,0.0,58.0,30.00,-,"1,016.00",114.00,164.00,-,22.0,2.0,2021-01-22 12:00:00,+07:00,21.01994,105.77056
35,13026,183.0,"Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,9.00,0.0,58.0,20.00,2.00,"1,016.00",126.00,183.00,1.00,22.0,2.0,2021-01-22 12:00:00,+07:00,21.01525,105.80013
36,13017,186.0,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,14.00,0.0,58.0,25.00,-,"1,016.00",151.00,186.00,-,22.0,2.0,2021-01-22 12:00:00,+07:00,21.02022,105.81232
37,13020,158.0,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,7.00,0.0,53.0,20.00,-,"1,015.00",94.00,158.00,-,22.0,2.0,2021-01-22 12:00:00,+07:00,21.00577,105.74842
38,13013,188.0,"Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,17.00,0.0,53.0,37.00,-,"1,015.00",152.00,188.00,-,22.0,2.0,2021-01-22 12:00:00,+07:00,21.05121,105.78232
39,13014,159.0,"Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,9.00,0.0,58.0,-,-,"1,016.00",95.00,159.00,-,22.0,2.0,2021-01-22 12:00:00,+07:00,21.0072,105.83572
40,13252,212.0,"Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm10,-,0.0,83.6,-,1.00,989.40,212.00,208.00,2.00,17.1,1.0,2021-01-22 13:00:00,+07:00,22.6782,106.245
41,8767,114.0,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,0.0,49.0,-,-,"1,007.00",0.00,114.00,-,32.0,1.5,2021-01-23 15:00:00,+07:00,10.782978,106.700711
42,8688,180.0,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,0.0,49.0,-,-,"1,013.00",0.00,-,-,23.0,3.0,2021-01-23 14:00:00,+07:00,21.0811211,105.8180306
43,8641,189.0,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.20,0.0,49.0,8.70,3.70,"1,013.00",0.00,189.00,4.60,23.0,3.0,2021-01-23 13:00:00,+07:00,21.0215063,105.8188748
44,13012,26.0,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm25,4.00,0.0,62.1,12.00,20.00,924.20,25.00,26.00,1.00,25.8,2.0,2021-01-23 15:00:00,+07:00,13.998599,107.996482
45,13251,169.0,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,11.00,0.0,49.0,28.00,2.00,"1,013.50",123.00,169.00,2.00,23.0,3.3,2021-01-23 13:00:00,+07:00,21.04975,105.74187
46,12976,176.0,"Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,9.00,0.0,68.0,16.00,24.00,"1,017.00",102.00,176.00,4.00,19.0,0.5,2021-01-23 11:00:00,+07:00,21.1137452,105.9268934
47,13250,151.0,"Lào Cai/KCN TALOONG1, Vietnam",https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1,pm25,40.00,0.0,73.1,2.00,1.00,"1,002.20",55.00,151.00,150.00,20.9,2.0,2021-01-23 15:00:00,+07:00,22.3221386,104.1214227
48,5507,65.0,"Ha Long, Vietnam (Tp Hạ Long)",https://aqicn.org/city/vietnam/ha-long,pm25,-,0.0,81.3,9.00,61.00,"1,000.40",34.00,65.00,-,23.7,2.0,2021-01-23 15:00:00,+07:00,20.9416,107.1158
49,11778,51.0,"Quảng Ninh/UBND TP Uông Bí, Vietnam",https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi,pm25,7.00,0.0,81.3,8.00,-,"1,000.40",29.00,51.00,14.00,23.7,2.0,2021-01-23 14:00:00,+07:00,21.0357507,106.7641068
50,12958,226.0,"Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm25,6.00,0.0,49.0,20.00,41.00,"1,012.00",136.00,226.00,6.00,23.0,3.0,2021-01-23 15:00:00,+07:00,21.1232473,106.2883295
51,12957,214.0,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh,pm25,1.00,0.0,49.0,13.00,-,"1,012.00",128.00,214.00,16.00,23.0,3.0,2021-01-23 15:00:00,+07:00,21.0272212,106.0342099
52,13015,170.0,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma,pm25,40.00,0.0,49.0,37.00,-,"1,013.00",130.00,170.00,-,23.0,3.0,2021-01-23 13:00:00,+07:00,21.03982,105.84726
53,13018,149.0,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai,pm25,7.00,0.0,49.0,33.00,-,"1,013.50",81.00,149.00,-,23.0,3.3,2021-01-23 13:00:00,+07:00,20.98832,105.854897
54,13019,157.0,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,9.00,0.0,49.0,35.00,-,"1,013.00",92.00,157.00,-,23.0,3.0,2021-01-23 13:00:00,+07:00,21.01994,105.77056
55,13026,160.0,"Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,10.00,0.0,49.0,23.00,4.00,"1,013.50",106.00,160.00,1.00,23.0,3.3,2021-01-23 13:00:00,+07:00,21.01525,105.80013
56,13017,167.0,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,13.00,0.0,49.0,20.00,-,"1,013.00",123.00,167.00,-,23.0,3.0,2021-01-23 13:00:00,+07:00,21.02022,105.81232
57,13020,151.0,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,12.00,0.0,49.0,23.00,-,"1,013.00",83.00,151.00,-,23.0,3.0,2021-01-23 13:00:00,+07:00,21.00577,105.74842
58,13013,168.0,"Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,11.00,0.0,49.0,31.00,-,"1,013.50",121.00,168.00,-,23.0,3.3,2021-01-23 13:00:00,+07:00,21.05121,105.78232
59,13014,155.0,"Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,11.00,0.0,49.0,-,-,"1,013.00",89.00,155.00,-,23.0,3.0,2021-01-23 13:00:00,+07:00,21.0072,105.83572
60,13252,340.0,"Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm10,-,0.0,68.9,-,1.00,985.90,340.00,194.00,2.00,18.0,1.0,2021-01-23 15:00:00,+07:00,22.6782,106.245
61,8767,80.0,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,0.0,74.0,-,-,"1,009.00",0.00,80.00,-,27.0,4.1,2021-01-25 19:00:00,+07:00,10.782978,106.700711
62,8688,161.0,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,0.0,77.0,-,-,"1,015.00",0.00,-,-,21.0,3.0,2021-01-25 19:00:00,+07:00,21.0811211,105.8180306
63,8641,139.0,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.20,0.0,77.0,12.80,0.90,"1,015.00",0.00,139.00,1.60,21.0,3.0,2021-01-25 19:00:00,+07:00,21.0215063,105.8188748
64,13012,70.0,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm25,6.00,0.0,43.4,17.00,22.00,923.40,53.00,70.00,2.00,29.0,2.0,2021-01-25 19:00:00,+07:00,13.998599,107.996482
65,12488,29.0,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,pm25,1.00,0.0,88.0,-,-,"1,014.50",24.00,29.00,-,22.0,2.8,2021-01-25 15:00:00,+07:00,16.46226,107.596351
66,13251,147.0,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,23.00,0.0,77.0,23.00,1.00,"1,015.00",95.00,147.00,2.00,21.0,3.8,2021-01-25 18:00:00,+07:00,21.04975,105.74187
67,12976,176.0,"Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,9.00,0.0,68.0,16.00,24.00,"1,017.00",102.00,176.00,4.00,19.0,0.5,2021-01-23 11:00:00,+07:00,21.1137452,105.9268934
68,13250,127.0,"Lào Cai/KCN TALOONG1, Vietnam",https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1,pm25,36.00,0.0,61.8,2.00,1.00,"1,001.10",56.00,127.00,23.00,24.5,1.0,2021-01-25 19:00:00,+07:00,22.3221386,104.1214227
69,5507,32.0,"Ha Long, Vietnam (Tp Hạ Long)",https://aqicn.org/city/vietnam/ha-long,pm25,-,0.0,95.7,18.00,16.00,"1,002.00",17.00,32.00,-,19.8,1.0,2021-01-25 19:00:00,+07:00,20.9416,107.1158
70,11778,11.0,"Quảng Ninh/UBND TP Uông Bí, Vietnam",https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi,pm25,5.00,0.0,95.7,29.00,-,"1,002.00",7.00,11.00,7.00,19.8,1.0,2021-01-25 18:00:00,+07:00,21.0357507,106.7641068
71,12958,137.0,"Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm25,5.00,0.0,77.0,46.00,3.00,"1,015.00",91.00,137.00,3.00,21.0,3.0,2021-01-25 19:00:00,+07:00,21.1232473,106.2883295
72,12957,116.0,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh,pm25,4.00,0.0,77.0,17.00,-,"1,015.00",66.00,116.00,5.00,21.0,3.8,2021-01-25 19:00:00,+07:00,21.0272212,106.0342099
73,13015,150.0,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma,pm25,51.00,0.0,77.0,48.00,-,"1,015.00",102.00,150.00,-,21.0,3.8,2021-01-25 18:00:00,+07:00,21.03982,105.84726
74,13018,106.0,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai,pm25,5.00,0.0,77.0,11.00,-,"1,015.00",66.00,106.00,-,21.0,3.8,2021-01-25 18:00:00,+07:00,20.98832,105.854897
75,13019,132.0,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,13.00,0.0,77.0,26.00,-,"1,015.00",77.00,132.00,-,21.0,3.8,2021-01-25 18:00:00,+07:00,21.01994,105.77056
76,13026,145.0,"Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,6.00,0.0,77.0,15.00,2.00,"1,015.00",84.00,145.00,1.00,21.0,3.8,2021-01-25 18:00:00,+07:00,21.01525,105.80013
77,13017,146.0,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,15.00,0.0,77.0,24.00,-,"1,015.00",102.00,146.00,-,21.0,3.0,2021-01-25 18:00:00,+07:00,21.02022,105.81232
78,13020,108.0,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,9.00,0.0,77.0,10.00,-,"1,015.00",61.00,108.00,-,21.0,3.8,2021-01-25 18:00:00,+07:00,21.00577,105.74842
79,13013,151.0,"Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,17.00,0.0,77.0,23.00,-,"1,015.00",104.00,151.00,-,21.0,3.8,2021-01-25 18:00:00,+07:00,21.05121,105.78232
80,13014,109.0,"Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,8.00,0.0,77.0,-,-,"1,015.00",61.00,109.00,-,21.0,3.8,2021-01-25 18:00:00,+07:00,21.0072,105.83572
81,13252,185.0,"Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm10,-,0.0,73.4,-,1.00,985.60,185.00,174.00,1.00,22.6,2.0,2021-01-25 19:00:00,+07:00,22.6782,106.245
82,8767,137.0,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,0.0,62.0,-,-,"1,007.00",0.00,137.00,-,31.0,5.1,2021-01-26 16:00:00,+07:00,10.782978,106.700711
83,8688,130.0,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,0.0,53.0,-,-,"1,014.00",0.00,-,-,25.0,4.1,2021-01-26 16:00:00,+07:00,21.0811211,105.8180306
84,8641,134.0,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.10,0.0,53.0,10.10,4.50,"1,014.00",0.00,134.00,1.60,25.0,4.1,2021-01-26 16:00:00,+07:00,21.0215063,105.8188748
85,13012,26.0,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm25,3.00,0.0,37.6,9.00,24.00,925.40,25.00,26.00,1.00,29.0,3.0,2021-01-26 16:00:00,+07:00,13.998599,107.996482
86,12488,17.0,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,pm25,2.00,0.0,78.0,-,-,"1,014.00",21.00,17.00,-,24.0,3.6,2021-01-26 15:00:00,+07:00,16.46226,107.596351
87,13251,126.0,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,12.00,0.0,57.0,23.00,2.00,"1,014.00",87.00,126.00,2.00,24.5,3.8,2021-01-26 15:00:00,+07:00,21.04975,105.74187
88,12976,176.0,"Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,9.00,0.0,68.0,16.00,24.00,"1,017.00",102.00,176.00,4.00,19.0,0.5,2021-01-23 11:00:00,+07:00,21.1137452,105.9268934
89,13250,103.0,"Lào Cai/KCN TALOONG1, Vietnam",https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1,pm25,42.00,0.0,76.7,3.00,1.00,"1,003.70",65.00,103.00,33.00,22.6,2.0,2021-01-26 16:00:00,+07:00,22.3221386,104.1214227
90,5507,44.0,"Ha Long, Vietnam (Tp Hạ Long)",https://aqicn.org/city/vietnam/ha-long,pm25,-,0.0,85.3,5.00,26.00,"1,002.90",23.00,44.00,-,23.2,1.0,2021-01-26 15:00:00,+07:00,20.9416,107.1158
