,Mã trạm,Chỉ số AQI,Tên trạm,Url,Chất ô nhiễm chủ đạo,CO,Sương,Độ ẩm,NO2,O3,Áp suất,Bụi PM10,Bụi PM2.5,SO2,Nhiệt độ,Tốc độ gió,Thời gian cập nhật,Múi giờ,Latitude,Longitude
1833,12976,67.0,"Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,5.00,22.0,52.0,12.00,8.00,"1,000.00",53.00,67.00,9.00,33.0,3.0,2021-06-28 22:00:00,+07:00,21.1137452,105.9268934
1834,11778,17.0,"Quảng Ninh/UBND TP Uông Bí, Vietnam",https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi,pm10,1.00,24.0,86.2,4.00,4.00,996.00,17.00,13.00,23.00,26.5,2.0,2021-09-17 01:00:00,+07:00,21.0357507,106.7641068
1835,12958,38.0,"Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm25,1.00,26.0,88.0,5.00,14.00,"1,012.00",37.00,38.00,13.00,28.0,1.0,2021-09-21 10:00:00,+07:00,21.1232473,106.2883295
1836,13015,91.0,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma,pm25,29.00,22.0,74.0,37.00,-,"1,011.00",65.00,91.00,-,27.0,2.8,2021-04-27 15:00:00,+07:00,21.03982,105.84726
1837,13018,69.0,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai,pm25,1.00,25.0,88.0,8.00,-,"1,012.00",51.00,69.00,-,27.0,1.0,2021-09-21 07:00:00,+07:00,20.98832,105.854897
1838,13019,86.0,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,5.00,25.0,88.0,16.00,-,"1,012.00",56.00,86.00,-,27.0,1.0,2021-09-21 07:00:00,+07:00,21.01994,105.77056
1839,13026,107.0,"Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,4.00,26.0,88.0,11.00,-,"1,012.00",59.00,107.00,-,28.0,1.0,2021-09-21 09:00:00,+07:00,21.01525,105.80013
1840,1584,18.0,"Da Nang, Vietnam (TP Đà Nẵng)",https://aqicn.org/city/vietnam/da-nang,pm25,1.00,24.0,66.0,11.00,13.00,"1,010.00",12.00,18.00,33.00,31.0,2.0,2021-09-21 10:00:00,+07:00,16.074,108.217
1841,13017,119.0,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,7.00,25.0,88.0,16.00,-,"1,012.00",84.00,119.00,-,27.0,1.0,2021-09-21 07:00:00,+07:00,21.02022,105.81232
1842,13020,66.0,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm10,6.00,25.0,88.0,15.00,-,"1,012.00",66.00,28.00,-,27.0,1.0,2021-09-21 07:00:00,+07:00,21.00577,105.74842
1843,13013,100.0,"Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,33.00,25.0,88.0,31.00,-,"1,012.00",70.00,100.00,-,27.0,1.0,2021-09-21 07:00:00,+07:00,21.05121,105.78232
1844,13014,105.0,"Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,6.00,25.0,88.0,-,-,"1,012.00",58.00,105.00,-,27.0,1.0,2021-09-21 07:00:00,+07:00,21.0072,105.83572
1845,13252,127.0,"Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm10,-,23.2,95.3,-,1.00,983.70,127.00,86.00,2.00,24.0,1.0,2021-09-21 10:00:00,+07:00,22.6782,106.245
1846,8767,50.0,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,23.5,66.0,-,-,"1,007.00",-,50.00,-,30.5,4.8,2021-09-23 15:00:00,+07:00,10.782978,106.700711
1847,8688,52.0,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,28.0,89.0,-,-,"1,008.00",-,52.00,-,30.0,4.1,2021-08-17 22:00:00,+07:00,21.0811211,105.8180306
1848,8641,59.0,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.10,21.5,56.5,7.40,14.30,"1,009.50",-,59.00,5.10,31.0,2.3,2021-09-23 15:00:00,+07:00,21.0215063,105.8188748
1849,13012,7.0,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm25,3.00,21.0,97.0,5.00,4.00,921.70,6.00,7.00,18.00,21.5,2.0,2021-09-23 16:00:00,+07:00,13.998599,107.996482
1850,13251,69.0,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,3.00,28.0,84.0,-,1.00,"1,005.00",1.00,69.00,-,31.0,3.0,2021-08-15 14:00:00,+07:00,21.04975,105.74187
1851,12976,67.0,"Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,5.00,22.0,52.0,12.00,8.00,"1,000.00",53.00,67.00,9.00,33.0,3.0,2021-06-28 22:00:00,+07:00,21.1137452,105.9268934
1852,11778,21.0,"Quảng Ninh/UBND TP Uông Bí, Vietnam",https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi,pm10,1.00,26.8,87.4,8.00,9.00,999.60,21.00,14.00,37.00,29.1,1.0,2021-09-23 14:00:00,+07:00,21.0357507,106.7641068
1853,12958,35.0,"Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm25,1.00,22.0,58.0,4.00,14.00,"1,010.00",30.00,35.00,7.00,31.0,1.0,2021-09-23 16:00:00,+07:00,21.1232473,106.2883295
1854,13015,91.0,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma,pm25,29.00,22.0,74.0,37.00,-,"1,011.00",65.00,91.00,-,27.0,2.8,2021-04-27 15:00:00,+07:00,21.03982,105.84726
1855,13018,30.0,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai,pm25,1.00,22.0,58.0,4.00,-,"1,010.00",21.00,30.00,-,31.0,3.0,2021-09-23 14:00:00,+07:00,20.98832,105.854897
1856,13019,19.0,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,3.00,21.5,56.5,19.00,-,"1,009.50",13.00,19.00,-,31.0,2.3,2021-09-23 14:00:00,+07:00,21.01994,105.77056
1857,13026,44.0,"Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,2.00,21.5,56.5,8.00,-,"1,009.50",36.00,44.00,-,31.0,2.3,2021-09-23 15:00:00,+07:00,21.01525,105.80013
1858,1584,10.0,"Da Nang, Vietnam (TP Đà Nẵng)",https://aqicn.org/city/vietnam/da-nang,pm25,1.00,24.0,88.0,10.00,10.00,"1,006.00",6.00,10.00,34.00,26.0,6.6,2021-09-23 15:00:00,+07:00,16.074,108.217
